2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1730982227.3458192
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\docutils\parsers\rst\directives\__init__.py first seen with mtime 1728468984.9974508
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\thinc\layers\hard_swish_mobilenet.py first seen with mtime 1736881616.8760853
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\docx\text\run.py first seen with mtime 1736774674.2919414
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_pytesttester.py first seen with mtime 1736774682.023544
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\rich\_export_format.py first seen with mtime 1736774691.2684639
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1730982227.059254
2025-01-14 19:23:27,783 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\mtia\_utils.py first seen with mtime 1729581801.5450177
2025-01-14 19:23:27,787 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\views.py first seen with mtime 1730982236.9030633
2025-01-14 19:23:27,787 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\spacy\training\loggers.py first seen with mtime 1736881623.0042193
2025-01-14 19:23:27,787 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\status.py first seen with mtime 1730982236.9009926
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\markdown_it\rules_block\blockquote.py first seen with mtime 1726739717.127162
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\chardet\mbcharsetprober.py first seen with mtime 1728468987.9420092
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\fx\_utils.py first seen with mtime 1729581809.8141453
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1730982227.0762527
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\ao\quantization\utils.py first seen with mtime 1729581810.1211123
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\utils\clip_grad.py first seen with mtime 1729581801.4716485
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\postgresql\creation.py first seen with mtime 1730982227.1527624
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\PyPDF2\_security.py first seen with mtime 1736774381.1009483
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\chardet\charsetprober.py first seen with mtime 1728468987.9253256
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\__init__.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\tqdm\_dist_ver.py first seen with mtime 1736774663.1688502
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\spacy\vocab.cp312-win_amd64.pyd first seen with mtime 1736881622.226369
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\sparse\semi_structured.py first seen with mtime 1729581801.3312244
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\docx\drawing\__init__.py first seen with mtime 1736774674.2427175
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygments\lexer.py first seen with mtime 1726739514.5425017
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\static.py first seen with mtime 1730982227.4081743
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\html\entities.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\rich\pretty.py first seen with mtime 1736774691.295425
2025-01-14 19:23:27,788 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributions\wishart.py first seen with mtime 1729581809.8302865
2025-01-14 19:23:27,793 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\test\client.py first seen with mtime 1730982227.3732758
2025-01-14 19:23:27,793 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\rich\_pick.py first seen with mtime 1736774691.2728305
2025-01-14 19:23:27,793 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\init.py first seen with mtime 1729581801.5202134
2025-01-14 19:23:27,794 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\chardet\codingstatemachine.py first seen with mtime 1728468987.9253256
2025-01-14 19:23:27,794 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\postgresql\psycopg_any.py first seen with mtime 1730982227.1537635
2025-01-14 19:23:27,794 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\rich\region.py first seen with mtime 1736774691.2996905
2025-01-14 19:23:27,794 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\srsly\ruamel_yaml\tokens.py first seen with mtime 1736774663.9499483
2025-01-14 19:23:27,794 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\utils\data\datapipes\map\callable.py first seen with mtime 1729581801.1791086
2025-01-14 19:23:27,794 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\postgres\forms\__init__.py first seen with mtime 1730982226.5339859
2025-01-14 19:23:27,794 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\validators.py first seen with mtime 1730982227.0740025
2025-01-14 19:23:27,795 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\graphlib.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,795 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\srsly\ruamel_yaml\reader.py first seen with mtime 1736774663.9450579
2025-01-14 19:23:27,795 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\secrets.py first seen with mtime 1707253818.0
2025-01-14 19:23:27,796 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\docx\oxml\xmlchemy.py first seen with mtime 1736774674.2656183
2025-01-14 19:23:27,796 | DEBUG    | django.utils.autoreload | autoreload:394 | File C:\Users\Skymil\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygments\regexopt.py first seen with mtime 1726739514.548669
